Station,Year,Month,T.max
Dhaka (11111),1953,1,25.18
Dhaka (11111),1953,2,29.52
Dhaka (11111),1953,3,32.65
Dhaka (11111),1953,4,35.02
Dhaka (11111),1953,5,32.77
Dhaka (11111),1953,6,31.36
Dhaka (11111),1953,7,30.83
Dhaka (11111),1953,8,31.39
Dhaka (11111),1953,9,31.63
Dhaka (11111),1953,10,30.98
Dhaka (11111),1953,11,28.64
Dhaka (11111),1953,12,27.77
Dhaka (11111),1954,1,24.8
Dhaka (11111),1954,2,30.55
Dhaka (11111),1954,3,34.8
Dhaka (11111),1954,4,34.47
Dhaka (11111),1954,5,33.48
Dhaka (11111),1954,6,30.13
Dhaka (11111),1954,7,30.96
Dhaka (11111),1954,8,31.03
Dhaka (11111),1954,9,31.42
Dhaka (11111),1954,10,29.81
Dhaka (11111),1954,11,27.76
Dhaka (11111),1954,12,25.76
Dhaka (11111),1955,1,25.08
Dhaka (11111),1955,2,28.52
Dhaka (11111),1955,3,32.9
Dhaka (11111),1955,4,33.32
Dhaka (11111),1955,5,32.96
Dhaka (11111),1955,6,31.58
Dhaka (11111),1955,7,30.55
Dhaka (11111),1955,8,30.62
Dhaka (11111),1955,9,31.64
Dhaka (11111),1955,10,31.22
Dhaka (11111),1955,11,28.36
Dhaka (11111),1955,12,25.1
Dhaka (11111),1956,1,25.42
Dhaka (11111),1956,2,28.08
Dhaka (11111),1956,3,32.1
Dhaka (11111),1956,4,33.96
Dhaka (11111),1956,5,32.1
Dhaka (11111),1956,6,29.98
Dhaka (11111),1956,7,30.61
Dhaka (11111),1956,8,30.81
Dhaka (11111),1956,9,30.52
Dhaka (11111),1956,10,31.13
Dhaka (11111),1956,11,28.41
Dhaka (11111),1956,12,26.19
Dhaka (11111),1957,1,24.7
Dhaka (11111),1957,2,26.36
Dhaka (11111),1957,3,31.79
Dhaka (11111),1957,4,35.48
Dhaka (11111),1957,5,34.07
Dhaka (11111),1957,6,32.08
Dhaka (11111),1957,7,30.72
Dhaka (11111),1957,8,31.7
Dhaka (11111),1957,9,31.93
Dhaka (11111),1957,10,31.16
Dhaka (11111),1957,11,29.52
Dhaka (11111),1957,12,26.81
Dhaka (11111),1958,1,27.25
Dhaka (11111),1958,2,28.19
Dhaka (11111),1958,3,33.27
Dhaka (11111),1958,4,35.18
Dhaka (11111),1958,5,33.38
Dhaka (11111),1958,6,32.91
Dhaka (11111),1958,7,31.32
Dhaka (11111),1958,8,30.98
Dhaka (11111),1958,9,31.86
Dhaka (11111),1958,10,31.33
Dhaka (11111),1958,11,29.42
Dhaka (11111),1958,12,26.57
Dhaka (11111),1959,1,25.28
Dhaka (11111),1959,2,27.45
Dhaka (11111),1959,3,32.5
Dhaka (11111),1959,4,33.78
Dhaka (11111),1959,5,32.97
Dhaka (11111),1959,6,31.34
Dhaka (11111),1959,7,30.79
Dhaka (11111),1959,8,30.67
Dhaka (11111),1959,9,30.11
Dhaka (11111),1959,10,29.11
Dhaka (11111),1959,11,27.96
Dhaka (11111),1959,12,25.9
Dhaka (11111),1960,1,25.53
Dhaka (11111),1960,2,31.24
Dhaka (11111),1960,3,32.05
Dhaka (11111),1960,4,34.98
